,block,street_name_original,address_original,street_name,full_address,processed_address,longitude,latitude,nearst_mrt,distance_nearst_mrt,nearst_mall,distance_nearst_mall,dist_to_CBD
3993,108,PASIR RIS ST 12,108 PASIR RIS ST 12,PASIR RIS ST 12      ,108 PASIR RIS ST 12     Singapore,108 PASIR RIS ST 12    ,103.9572281,1.3674286,Pasir Ris mrt station,1.0631142470000001,Loyang Point,0.812441847,14.660688228274319
3994,471,PASIR RIS DR 6,471 PASIR RIS DR 6,PASIR RIS DR 6      ,471 PASIR RIS DR 6     Singapore,471 PASIR RIS DR 6    ,103.957766,1.374292,Pasir Ris mrt station,0.9520433970000001,Downtown East,0.503359726,15.174276840272006
3995,403,SERANGOON AVE 1,403 SERANGOON AVE 1,SERANGOON AVE 1        ,403 SERANGOON AVE 1       Singapore,403 SERANGOON AVE 1      ,103.8724894,1.3464724,Serangoon mrt station,0.5300496720000001,NEX,0.43416804299999995,6.868825689556737
3996,876,TAMPINES ST 84,876 TAMPINES ST 84,TAMPINES ST 84        ,876 TAMPINES ST 84       Singapore,876 TAMPINES ST 84      ,103.9312118,1.3531583999999999,Tampines West mrt station,1.247032817,Our Tampines Hub,1.022413936,11.407125193733464
3997,899,TAMPINES ST 81,899 TAMPINES ST 81,TAMPINES ST 81        ,899 TAMPINES ST 81       Singapore,899 TAMPINES ST 81      ,103.935472,1.3465454,Tampines West mrt station,0.42343114200000004,Our Tampines Hub,0.899426237,11.345470893477
3998,221,SIMEI ST 4,221 SIMEI ST 4,SIMEI ST 4        ,221 SIMEI ST 4       Singapore,221 SIMEI ST 4      ,103.9564348,1.3417576,Simei mrt station,0.307469832,Eastpoint Mall,0.392180608,13.078214620244465
3999,898A,TAMPINES ST 81,898A TAMPINES ST 81,TAMPINES ST 81        ,898A TAMPINES ST 81       Singapore,898A TAMPINES ST 81      ,103.9346465,1.3466491000000003,Tampines West mrt station,0.512855319,Our Tampines Hub,0.949683994,11.276771027148886
4000,864,TAMPINES ST 83,864 TAMPINES ST 83,TAMPINES ST 83        ,864 TAMPINES ST 83       Singapore,864 TAMPINES ST 83      ,103.935472,1.3550368,Tampines mrt station,1.06519499,Our Tampines Hub,0.5928417810000001,11.906613855085812
4001,234,SIMEI ST 4,234 SIMEI ST 4,SIMEI ST 4        ,234 SIMEI ST 4       Singapore,234 SIMEI ST 4      ,103.9553243,1.343429,Simei mrt station,0.187970849,Eastpoint Mall,0.266052085,13.054093692209724
4002,407,YISHUN AVE 6,407 YISHUN AVE 6,YISHUN AVE 6        ,407 YISHUN AVE 6       Singapore,407 YISHUN AVE 6      ,103.8487085,1.4259483999999998,Yishun mrt station,1.595224587,Junction 9,1.108167264,15.26266560668665
4003,354,YISHUN RING RD,354 YISHUN RING RD,YISHUN RING ROAD        ,354 YISHUN RING ROAD       Singapore,354 YISHUN RING ROAD      ,103.845221,1.4257863000000002,Yishun mrt station,1.22765385,Junction 9,0.8945156959999999,15.258394243753276
4004,332,YISHUN RING RD,332 YISHUN RING RD,YISHUN RING ROAD        ,332 YISHUN RING ROAD       Singapore,332 YISHUN RING ROAD      ,103.84290370000001,1.4304052999999999,Yishun mrt station,0.9096645640000001,Junction 9,0.32246583,15.782621175170881
4005,851,YISHUN ST 81,851 YISHUN ST 81,YISHUN ST 81        ,851 YISHUN ST 81       Singapore,851 YISHUN ST 81      ,103.836647,1.4156819999999999,Khatib mrt station,0.46839485399999997,Wisteria Mall,0.630475579,14.223728774750807
4006,860,YISHUN AVE 4,860 YISHUN AVE 4,YISHUN AVE 4        ,860 YISHUN AVE 4       Singapore,860 YISHUN AVE 4      ,103.8400579,1.4177487,Khatib mrt station,0.822586039,Wisteria Mall,0.188404039,14.411352127618855
4007,324,YISHUN CTRL,324 YISHUN CTRL,YISHUN CENTRAL          ,324 YISHUN CENTRAL         Singapore,324 YISHUN CENTRAL        ,103.8418695,1.4284481000000002,Yishun mrt station,0.7947980259999999,Junction 9,0.5092392960000001,15.5743650105888
4008,355A,YISHUN RING RD,355A YISHUN RING RD,YISHUN RING ROAD        ,355A YISHUN RING ROAD       Singapore,355A YISHUN RING ROAD      ,103.8446775,1.4260098,Yishun mrt station,1.1624252179999999,Junction 9,0.846809613,15.286089478303522
4009,356,YISHUN RING RD,356 YISHUN RING RD,YISHUN RING ROAD        ,356 YISHUN RING ROAD       Singapore,356 YISHUN RING ROAD      ,103.8454022,1.4251983,Yishun mrt station,1.269079321,Wisteria Mall,0.8583273029999999,15.1924949690385
4010,361,YISHUN RING RD,361 YISHUN RING RD,YISHUN RING ROAD        ,361 YISHUN RING ROAD       Singapore,361 YISHUN RING ROAD      ,103.8459683,1.4283678999999998,Yishun mrt station,1.249150483,Junction 9,0.7039478220000001,15.539847447397564
4011,210,NEW UPP CHANGI RD,210 NEW UPP CHANGI RD,NEW UPP CHANGI ROAD      ,210 NEW UPP CHANGI ROAD     Singapore,210 NEW UPP CHANGI ROAD    ,103.931665,1.3246878999999998,Bedok mrt station,0.226480892,Bedok Point,0.081496452,9.77404114880156
4012,144,BEDOK RESERVOIR RD,144 BEDOK RESERVOIR RD,BEDOK RESERVOIR ROAD        ,144 BEDOK RESERVOIR ROAD       Singapore,144 BEDOK RESERVOIR ROAD      ,103.9124505,1.3351152,Kaki Bukit mrt station,0.339581774,Djitsun Mall Bedok,2.146085359,8.531115296330656
4013,109,LENGKONG TIGA,109 LENGKONG TIGA,LENGKONG TIGA          ,109 LENGKONG TIGA         Singapore,109 LENGKONG TIGA        ,103.9107286,1.3246615,Kembangan mrt station,0.48046382299999996,Singapore Post Centre,1.899803067,7.714222871508152
4014,156,BISHAN ST 13,156 BISHAN ST 13,BISHAN ST 13        ,156 BISHAN ST 13       Singapore,156 BISHAN ST 13      ,103.856635,1.3453928999999998,Bishan mrt station,0.960665282,Junction 8,1.05840157,6.374312148576932
4015,142,BISHAN ST 12,142 BISHAN ST 12,BISHAN ST 12        ,142 BISHAN ST 12       Singapore,142 BISHAN ST 12      ,103.853555,1.3454839,Bishan mrt station,0.7253351809999999,Junction 8,0.78288105,6.364523870478551
4016,444,SIN MING AVE,444 SIN MING AVE,SIN MING AVE        ,444 SIN MING AVE       Singapore,444 SIN MING AVE      ,103.832316,1.3585943999999999,Upper Thomson mrt station,0.466504209,Thomson Plaza,0.441440161,8.106071980406712
4017,162,BISHAN ST 13,162 BISHAN ST 13,BISHAN ST 13        ,162 BISHAN ST 13       Singapore,162 BISHAN ST 13      ,103.8559103,1.3476669,Bishan mrt station,0.74945381,Junction 8,0.872602622,6.618805919833092
4018,283,BT BATOK EAST AVE 3,283 BT BATOK EAST AVE 3,BUKIT BATOK EAST AVE 3    ,283 BUKIT BATOK EAST AVE 3   Singapore,283 BUKIT BATOK EAST AVE 3  ,103.75747690000001,1.3472903,Bukit Batok mrt station,0.8922808090000001,West Mall,0.9713298709999999,12.377569199269946
4019,423,BT BATOK WEST AVE 2,423 BT BATOK WEST AVE 2,BUKIT BATOK WEST AVE 2    ,423 BUKIT BATOK WEST AVE 2   Singapore,423 BUKIT BATOK WEST AVE 2  ,103.74471080000001,1.3620836,Bukit Batok West mrt station,0.876487248,West Mall,1.414634731,14.463248307830888
4020,127,PENDING RD,127 PENDING RD,PENDING ROAD          ,127 PENDING ROAD         Singapore,127 PENDING ROAD        ,103.7692202,1.3765063999999998,Cashew mrt station,0.916718409,Bukit Panjang Plaza,0.6447574420000001,13.427857442749595
4021,232,PENDING RD,232 PENDING RD,PENDING ROAD          ,232 PENDING ROAD         Singapore,232 PENDING ROAD        ,103.7724115,1.3764326999999998,Cashew mrt station,1.158580341,Fajar Shopping Centre,0.856438585,13.181321137874603
4022,218,PETIR RD,218 PETIR RD,PETIR ROAD          ,218 PETIR ROAD         Singapore,218 PETIR ROAD        ,103.77365640000001,1.3744281,Cashew mrt station,1.156468462,Fajar Shopping Centre,1.107288205,12.924037602628012
4023,137,PETIR RD,137 PETIR RD,PETIR ROAD          ,137 PETIR ROAD         Singapore,137 PETIR ROAD        ,103.7694239,1.3750576,Cashew mrt station,0.8095267279999999,Bukit Panjang Plaza,0.762085465,13.29585190114877
4024,273,BANGKIT RD,273 BANGKIT RD,BANGKIT ROAD          ,273 BANGKIT ROAD         Singapore,273 BANGKIT ROAD        ,103.775279,1.377558,Cashew mrt station,1.4886053280000002,Fajar Shopping Centre,0.877445798,13.06374493742695
4025,270,BANGKIT RD,270 BANGKIT RD,BANGKIT ROAD          ,270 BANGKIT ROAD         Singapore,270 BANGKIT ROAD        ,103.77395059999999,1.3770833,Cashew mrt station,1.338011418,Fajar Shopping Centre,0.84616373,13.121102915953818
4026,146,GANGSA RD,146 GANGSA RD,GANGSA ROAD          ,146 GANGSA ROAD         Singapore,146 GANGSA ROAD        ,103.7661874,1.3755348,Cashew mrt station,0.6626485910000001,Hillion Mall,0.45301136700000005,13.584236561251839
4027,14,TOH YI DR,14 TOH YI DR,TOH YI DR        ,14 TOH YI DR       Singapore,14 TOH YI DR      ,103.7725926,1.339067,Beauty World mrt station,0.405414304,Beauty World Centre,0.569380249,10.469838904353823
4028,15,TOH YI DR,15 TOH YI DR,TOH YI DR        ,15 TOH YI DR       Singapore,15 TOH YI DR      ,103.772082,1.339316,Beauty World mrt station,0.443926045,Beauty World Centre,0.598587851,10.532538150367925
4029,692,HOUGANG ST 61,692 HOUGANG ST 61,HOUGANG ST 61        ,692 HOUGANG ST 61       Singapore,692 HOUGANG ST 61      ,103.8868052,1.3766358,Hougang mrt station,0.924231371,Hougang Green Shopping Mall,0.31508359199999997,10.552244333984616
4030,233,HOUGANG ST 21,233 HOUGANG ST 21,HOUGANG ST 21        ,233 HOUGANG ST 21       Singapore,233 HOUGANG ST 21      ,103.88816440000001,1.35795,Kovan mrt station,0.46192047299999994,Heartland Mall,0.368661048,8.734916777883193
4031,928,JURONG WEST ST 92,928 JURONG WEST ST 92,JURONG WEST ST 92      ,928 JURONG WEST ST 92     Singapore,928 JURONG WEST ST 92    ,103.68919079999999,1.3409718000000002,Pioneer mrt station,0.949603213,Pioneer Mall,0.90977553,19.021058466716415
4032,921,JURONG WEST ST 92,921 JURONG WEST ST 92,JURONG WEST ST 92      ,921 JURONG WEST ST 92     Singapore,921 JURONG WEST ST 92    ,103.68887409999999,1.3396183000000002,Pioneer mrt station,0.940045916,Pioneer Mall,0.97059207,19.009082454144515
4033,978,JURONG WEST ST 93,978 JURONG WEST ST 93,JURONG WEST ST 93      ,978 JURONG WEST ST 93     Singapore,978 JURONG WEST ST 93    ,103.6941446,1.3405589,Pioneer mrt station,0.44899934399999997,Pioneer Mall,0.37907446899999997,18.48294973581876
4034,933,JURONG WEST ST 91,933 JURONG WEST ST 91,JURONG WEST ST 91      ,933 JURONG WEST ST 91     Singapore,933 JURONG WEST ST 91    ,103.6898694,1.3422498999999999,Pioneer mrt station,0.9445330270000001,Pioneer Mall,0.8313995670000001,18.993422417639398
4035,49,JLN BAHAGIA,49 JLN BAHAGIA,JALAN BAHAGIA          ,49 JALAN BAHAGIA         Singapore,49 JALAN BAHAGIA        ,103.8563859,1.3277346,Boon Keng mrt station,1.068016464,HDB Hub,1.06025399,4.428558479430621
4036,47,JLN BAHAGIA,47 JLN BAHAGIA,JALAN BAHAGIA          ,47 JALAN BAHAGIA         Singapore,47 JALAN BAHAGIA        ,103.8570111,1.3275243,Boon Keng mrt station,1.0090559959999998,HDB Hub,1.132466189,4.414091205087092
4037,427,PASIR RIS DR 6,427 PASIR RIS DR 6,PASIR RIS DR 6      ,427 PASIR RIS DR 6     Singapore,427 PASIR RIS DR 6    ,103.95593620000001,1.3703105,Pasir Ris mrt station,0.7863211379999999,White Sands,0.743118518,14.740568211596324
4038,72,C'WEALTH DR,72 C'WEALTH DR,COMMONWEALTH DR          ,72 COMMONWEALTH DR         Singapore,72 COMMONWEALTH DR        ,103.79706180000001,1.2999724,Commonwealth mrt station,0.291801585,Rochester Mall,1.104828952,6.233436275898741
4039,43,STIRLING RD,43 STIRLING RD,STIRLING ROAD          ,43 STIRLING ROAD         Singapore,43 STIRLING ROAD        ,103.802513,1.298081,Queenstown mrt station,0.444909582,Anchorpoint,1.0760305270000001,5.59662788974008
